context_3,context_2,context_1,response
,,,"Необходимо найти совместную плотность кси и кси^2. Кси равномерно распределена на отрезке [-1, 1].
Ищу по определению. Получаю совместную плотность везде 0.
Что не так?"
,,"Необходимо найти совместную плотность кси и кси^2. Кси равномерно распределена на отрезке [-1, 1].
Ищу по определению. Получаю совместную плотность везде 0.
Что не так?","Проблема в том, что такое случайный вектор (xi, xi^2) не имеет плотности, он сосредоточен полностью на параболе. Если запараметризовать параболу с помощью x, то как написал Никита плотность на параболе совпадает с плотностью xi. Формулировка не совсем корректная в задаче."
,"Необходимо найти совместную плотность кси и кси^2. Кси равномерно распределена на отрезке [-1, 1].
Ищу по определению. Получаю совместную плотность везде 0.
Что не так?","Проблема в том, что такое случайный вектор (xi, xi^2) не имеет плотности, он сосредоточен полностью на параболе. Если запараметризовать параболу с помощью x, то как написал Никита плотность на параболе совпадает с плотностью xi. Формулировка не совсем корректная в задаче.","Спасибо. Была такая мысль. 
Задача была несколько иной - посчитать условное мат ожидание кси от кси квадрат. Метод, предложенный лектором, содержал много интересных приемов, но которые надо знать/помнить.
Я решил попробовать решение ""в лоб"".
Хоть и не получилось, но в целом, полезно."
,,,"Они зависимы, т.е там P(ksi = x, eta = y) равна 0, если y != x^2, а там, где равен, плотность становится просто плотностью ksi
Мне кажется, так"
,,,"Добрый день! Подскажите пожалуйста, нужен ли Ангем для линала в курсе у Димы и для поступления в ШАД?"
,,"Добрый день! Подскажите пожалуйста, нужен ли Ангем для линала в курсе у Димы и для поступления в ШАД?","Для моего курса ничего не нужно, он с нуля. Что краткий, что полный. Для шада скорее не надо. Просто ангем это про поверхности второго порядка и их диагонализацию в ортонормированный системе координат. А это по сути про диагонализацию самосопряженных операторов. Потому линал что надо покрывает технически, но я про поверхности не говорю явно."
,"Добрый день! Подскажите пожалуйста, нужен ли Ангем для линала в курсе у Димы и для поступления в ШАД?","Для моего курса ничего не нужно, он с нуля. Что краткий, что полный. Для шада скорее не надо. Просто ангем это про поверхности второго порядка и их диагонализацию в ортонормированный системе координат. А это по сути про диагонализацию самосопряженных операторов. Потому линал что надо покрывает технически, но я про поверхности не говорю явно.",Спасибо за ответ!
,,,да вроде стандартный байес
,,,"Привет. Подскажет кто-нибудь идею решения?
Пусть A – матрица размера 9 на 9 такая, что A^2 = E. Определите ранг E − A, если rk(E + A) = 7.
Семинар 6, задача 11"
,,"Привет. Подскажет кто-нибудь идею решения?
Пусть A – матрица размера 9 на 9 такая, что A^2 = E. Определите ранг E − A, если rk(E + A) = 7.
Семинар 6, задача 11","Разве нельзя более простой аргумент использовать? По разности квадратов (А-Е)(А+Е)=0. Это означает, что ОБРАЗ оператора А+Е, содержится в ЯДРЕ А-Е. Таким образом, rk(A-E) <= 9-7=2. А в обратную сторону, если ker(A-E) имеет размерность k, то оператор A+E сохраняет это подпространство и (А+Е)v= 2v - не вырожденный. Значит, k<=7, то есть ранг A-E ровно 2."
,,,"Можно получить оценку сверху на rk(A+E) либо через частный случай неравенства фробениуса rk(E-A) + rk(A+E) - n <= rk((E-A)(A+E)) = 0, либо через то, что сумма геометрических кратностей собственных значений -1 и 1 (следует из того, что A^2 = E) не превышает размерности пространства n. Получим rk(E-A) <= 2. Оценку снизу можно сделать, используя неравенство rk(A+B) >= |rk(A)-rk(B)|. rk(E-A) >= |rk(A+E) - rk(2*A)| = 2. То есть rk(E-A) = 2"
,,"Можно получить оценку сверху на rk(A+E) либо через частный случай неравенства фробениуса rk(E-A) + rk(A+E) - n <= rk((E-A)(A+E)) = 0, либо через то, что сумма геометрических кратностей собственных значений -1 и 1 (следует из того, что A^2 = E) не превышает размерности пространства n. Получим rk(E-A) <= 2. Оценку снизу можно сделать, используя неравенство rk(A+B) >= |rk(A)-rk(B)|. rk(E-A) >= |rk(A+E) - rk(2*A)| = 2. То есть rk(E-A) = 2",спасибо
,"Можно получить оценку сверху на rk(A+E) либо через частный случай неравенства фробениуса rk(E-A) + rk(A+E) - n <= rk((E-A)(A+E)) = 0, либо через то, что сумма геометрических кратностей собственных значений -1 и 1 (следует из того, что A^2 = E) не превышает размерности пространства n. Получим rk(E-A) <= 2. Оценку снизу можно сделать, используя неравенство rk(A+B) >= |rk(A)-rk(B)|. rk(E-A) >= |rk(A+E) - rk(2*A)| = 2. То есть rk(E-A) = 2",спасибо,А на какую тему семинар был?
